NomProduit,Descriptions,Categories,DateAjout,PrixUnitaire,Quantite,IdFournisseurs
Saucisson à l'anis,Nan,Charcuterie,2022-11-18 02:48:01,1400.0,1,
Pâté de lapin aux noix,Nan,Charcuterie,2022-04-26 20:34:38,1800.0,1,
Sachet de sel,Nan,Condiment,2022-11-14 13:08:04,500.0,1,
Terrine de faisan aux morilles,Nan,Charcuterie,2022-07-23 09:55:19,1700.0,1,
Baume après-rasage hydratant Nivea,Nan,Produits de rasage,2022-11-19 13:01:12,700.0,1,
Sachet de sel,Nan,Condiment,2022-03-18 08:02:21,500.0,1,
Baume à cuticules Sally Hansen,Nan,Produits de soin pour les ongles,2022-09-22 22:21:13,1000.0,1,
Sachet de thé Lipton,Nan,Thé,2022-06-12 06:47:13,500.0,1,
Déodorant stick Narta,Nan,Produits d'hygiène,2022-01-24 23:39:23,800.0,1,
Saucisse de Morteau,Nan,Charcuterie,2022-03-10 00:05:22,1600.0,1,
Soin hydratant intense pour le visage Nivea,Nan,Produits de soin pour le visage,2022-11-06 13:34:46,2500.0,1,
Bouteille de Jack Daniel,Nan,Liqueur,2022-07-24 03:54:19,5000.0,1,
Andouille,Nan,Charcuterie,2022-02-19 07:53:32,1600.0,1,
Paquet de riz complet,Nan,Alimentation,2022-02-07 15:09:49,1500.0,1,
Déodorant spray fraîcheur instantanée Nivea,Nan,Produits d'hygiène,2022-10-25 23:43:50,800.0,1,
Boîte de mouchoirs en papier Kleenex,Nan,Hygiène,2022-07-30 13:25:48,1000.0,1,
Pâté de cerf,Nan,Charcuterie,2022-02-23 11:19:33,1800.0,1,
Démaquillant yeux waterproof Garnier,Nan,Produits de démaquillage,2022-07-21 17:01:33,1200.0,1,
Sac de riz Basmati,Nan,Alimentation,2022-03-17 14:23:21,4000.0,1,
Petite bouteille de Coca-Cola,Nan,Boisson,2022-10-20 17:20:00,500.0,1,
Soin anti-fatigue pour le visage Nivea,Nan,Produits de soin pour le visage,2022-10-27 05:50:05,2500.0,1,
Coppa,Nan,Charcuterie,2022-09-10 07:58:08,1600.0,1,
Bouteille de shampoing Head & Shoulders,Nan,Hygiène,2022-10-22 08:17:25,1500.0,1,
Saucisson à l'ail,Nan,Charcuterie,2022-03-20 02:31:13,1300.0,1,
Terrine de perdreau,Nan,Charcuterie,2022-10-17 03:58:09,1700.0,1,
Crème de nuit régénérante L'Oréal,Nan,Produits de soin pour le visage,2022-11-04 20:30:39,1200.0,1,
Sérum hydratant Vichy,Nan,Produits de soin pour le visage,2022-07-30 07:24:33,3000.0,1,
Déodorant Rexona,Nan,Produits d'hygiène,2022-12-13 13:24:11,800.0,1,
Sérum hydratant Vichy,Nan,Produits de soin pour le visage,2022-05-27 03:56:18,3000.0,1,
Pâté de sanglier,Nan,Charcuterie,2022-03-01 23:10:42,1800.0,1,
Saucisson au genièvre,Nan,Charcuterie,2022-08-28 00:11:30,1400.0,1,
Sac de croquettes pour chien Pedigree,Nan,Animaux,2022-08-02 05:33:20,2000.0,1,
Bouteille de sauce soja,Nan,Condiment,2022-05-09 09:20:56,1000.0,1,
Gel coiffant effet mouillé Schwarzkopf,Nan,Produits de coiffure,2022-09-11 02:36:29,1500.0,1,
Sachet de sucre vanillé,Nan,Sucrerie,2022-09-21 21:21:01,500.0,1,
Dentifrice blanchissant Colgate,Nan,Produits d'hygiène dentaire,2022-02-21 07:58:54,500.0,1,
Boudin noir,Nan,Charcuterie,2022-03-25 15:50:11,1500.0,1,
Paquet de chips Lay's,Nan,Snack,2022-08-07 18:24:29,750.0,1,
Shampooing réparateur Elsève,Nan,Produits de soin capillaire,2022-05-14 16:51:20,1500.0,1,
Rillettes de poisson,Nan,Charcuterie,2022-07-30 17:57:39,1300.0,1,
Sachet de sucre Daddy,Nan,Sucrerie,2022-08-04 12:33:41,500.0,1,
Sachet de piment en poudre,Nan,Condiment,2022-12-21 01:21:21,500.0,1,
Andouille,Nan,Charcuterie,2022-08-04 23:59:16,1600.0,1,
Gel douche exfoliant Nivea,Nan,Produits de douche,2022-08-18 01:45:40,1200.0,1,
Petite bouteille de Coca-Cola,Nan,Boisson,2022-01-21 16:17:01,500.0,1,
Saucisse au poivre,Nan,Charcuterie,2022-07-23 18:14:28,1600.0,1,
Sachet de pâtes de curry rouge,Nan,Condiment,2022-07-10 15:04:58,750.0,1,
Crème anti-rides Nivea,Nan,Produits de soin pour le visage,2022-10-06 08:36:57,2500.0,1,
Pâté de marcassin aux airelles,Nan,Charcuterie,2022-01-23 12:31:41,1800.0,1,
Rillettes de canard,Nan,Charcuterie,2022-05-18 21:40:59,1400.0,1,
Pâté de porc,Nan,Charcuterie,2022-05-16 20:42:50,1200.0,1,
Crème réparatrice pour les mains Neutrogena,Nan,Produits de soin pour les mains,2022-06-24 19:03:01,1000.0,1,
Pain de savon Lux,Nan,Hygiène,2022-11-18 03:09:36,500.0,1,
Shampooing réparateur Elsève,Nan,Produits de soin capillaire,2022-09-04 12:02:15,1500.0,1,
Terrine de faisan,Nan,Charcuterie,2022-08-25 23:36:35,1700.0,1,
Shampooing anti-chute Vichy,Nan,Produits de soin capillaire,2022-10-07 05:35:05,1800.0,1,
Sachet de feuilles de thé,Nan,Thé,2022-02-05 05:31:52,500.0,1,
Paquet de riz complet,Nan,Alimentation,2022-03-16 16:05:15,1500.0,1,
Dentifrice blancheur intense Colgate,Nan,Produits d'hygiène dentaire,2022-03-01 03:23:36,500.0,1,
Gel douche nourrissant à l'huile d'amande Neutrogena,Nan,Produits de douche,2022-10-02 22:40:12,1200.0,1,
Sachet de graines de sésame,Nan,Condiment,2022-02-08 21:00:50,750.0,1,
Saucisson de Lyon,Nan,Charcuterie,2022-09-02 01:53:50,1400.0,1,
Saucisse de porc,Nan,Charcuterie,2022-07-30 01:21:09,1600.0,1,
Bouteille de Jack Daniel,Nan,Liqueur,2022-10-26 10:32:27,5000.0,1,
Pot de crème hydratante Nivea,Nan,Hygiène,2022-03-26 14:52:39,1500.0,1,
Soin contour des lèvres L'Oréal,Nan,Produits de soin des lèvres,2022-11-23 18:51:10,700.0,1,
Crème anti-âge L'Oréal,Nan,Produits de soin pour le visage,2022-03-13 03:14:04,2500.0,1,
Jambon de Montagne Noire,Nan,Charcuterie,2022-05-08 05:46:59,2000.0,1,
Saucisse sèche,Nan,Charcuterie,2022-09-03 16:37:27,1700.0,1,
Crème réparatrice pour les pieds Scholl,Nan,Produits de soin pour les pieds,2022-08-30 23:00:19,1500.0,1,
Baume nourrissant pour les mains L'Occitane,Nan,Produits de soin pour les mains,2022-01-14 10:08:21,1000.0,1,
Sachet de thé vert,Nan,Thé,2022-04-25 14:47:45,500.0,1,
Pâté de cerf,Nan,Charcuterie,2022-01-30 19:04:13,1800.0,1,
